title,url,time,like_num,read_num,share_num,comment_count
科技爱好者周刊#323：技术公司的口号比拼,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650238548&idx=1&sn=98272891260c9492f0f6dfb9d14bde8a&chksm=f2b6330c820bc5fabf59ef9eb8a9484d8b3b3f6284f14bfdee89869ed9704c2fa693c445178d&scene=27#wechat_redirect,2024-11-01 08:32:43,0,0,0,{}
AI 开发的捷径：工作流模式,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650238497&idx=1&sn=59b9010e92c72d9080cedd052ee70be4&chksm=f238a7518b4fd2885aeac3e15d86d7f06ffa27f241ebf79c2d8af4ed2e5113dcc0333f83dbe9&scene=27#wechat_redirect,2024-10-31 08:36:24,0,0,0,{}
科技爱好者周刊#322：内容行业的内幕,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650238418&idx=1&sn=2ad63532ddf0fb3fe516112a6949c83c&chksm=f2bb01f929b90cd1e897f67d53b57534fc9932246b0fd836abaff0b7e33f66d9d5e7b37b8c33&scene=27#wechat_redirect,2024-10-25 08:25:20,0,0,0,{}
科技爱好者周刊#321：傅盛回忆录,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650238374&idx=1&sn=fd8dfd3e73757c70ab24ef041a05b6b4&chksm=f25a3ac52cbef3eb95e6270b63fd4101825ded8e8331641743de25917abeb89a350dde6d1976&scene=27#wechat_redirect,2024-10-18 08:18:33,0,0,0,{}
科技爱好者周刊#320：乒乓仓,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650238316&idx=1&sn=aee84766d54c2a0bc71dfccd9b6afb34&chksm=f295a7496c25bc1c5be90524aa21c236763eaf6601dd147b44bec6da78818aaa1b014f5f372c&scene=27#wechat_redirect,2024-10-11 08:31:07,0,0,0,{}
后面试时代与 AI 刷题,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650238253&idx=1&sn=45c20641d4cd65ff1650a6ba1ca0b87b&chksm=f2fa6c19d32774f0405dc34439da1b1cc906387525664e868b9d28db01a1139a7f01521634a7&scene=27#wechat_redirect,2024-10-10 08:29:02,0,0,0,{}
科技爱好者周刊#319：如何拍出爆款视频,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650238180&idx=1&sn=a409c4614bfb82396c55a5bf7fd29460&chksm=f278656d1311e1b12b7d5d2dec38f986a2c34ad23ce9493ea4371c8783503d264393a8f3af06&scene=27#wechat_redirect,2024-09-27 08:26:25,0,0,0,{}
科技爱好者周刊#318：创业咖啡馆的记忆,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650238128&idx=1&sn=8c0f511376c9858343981fcb6d4d032a&chksm=f247857955c07ecdb99c62a97434a0cc780597481291ed180a75fab3892a917700cc82603313&scene=27#wechat_redirect,2024-09-20 08:23:34,0,0,0,{}
科技爱好者周刊#317：驴子、老虎和狮子的寓言,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650238075&idx=1&sn=e8f4666257f6c7d5a661f35add70296b&chksm=f2f883f9ff6c7ede87924177ac9035d1a1a9376fb7b21936e4e6b29fd736e39c2e862d3b9154&scene=27#wechat_redirect,2024-09-13 07:57:31,0,0,0,{}
白话多集群：工具和应用助手,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650238032&idx=1&sn=312fddba17528bbb21c7caec97bd38c7&chksm=f2d57f8c806a79c5a7bf7365014a935cae756e8a8e655e8024b8a4809e2382bcbdcd0ffb373b&scene=27#wechat_redirect,2024-09-12 09:51:30,0,0,0,{}
科技爱好者周刊#316：你一生的故事,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650238011&idx=1&sn=d412f59e8d468b06f52a663faf37765d&chksm=f2140d2aedae1608386224a22315b35092dea390ba89424e925bbaecde1787b90ae1a80e9512&scene=27#wechat_redirect,2024-09-06 08:27:25,0,0,0,{}
科技爱好者周刊#315：一份谷歌离职报告,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650237932&idx=1&sn=c7de23325ceaa8fbe6005548f3acf030&chksm=f2667313f06b7537e32e329003ff71abc2a7c352eba6f1ba6e8cf8da83504b8ea72d18de985e&scene=27#wechat_redirect,2024-08-30 08:20:59,0,0,0,{}
科技爱好者周刊#314：《黑神话：悟空》可以产业化吗？,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650237877&idx=1&sn=ac487e18325354e546b27b112045699d&chksm=f237fbdec0cae7c2fc7c152ba286a03a3255007788284853f5a93ce8a6cf67b6171b9a51c544&scene=27#wechat_redirect,2024-08-23 08:25:09,0,0,0,{}
科技爱好者周刊#313：如果新加坡没有空调,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650237825&idx=1&sn=aa5aebad826f9fdf1ab8e6935486c62f&chksm=f23ba08e15f9aefb03b9f4fda17d9e898343d5b26c896c1f59d0ab7adf9dbee978d717104fa4&scene=27#wechat_redirect,2024-08-16 08:19:18,0,0,0,{}
科技爱好者周刊#312：从英特尔看“美国制造”,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650237753&idx=1&sn=da8c0a9eb8c33b2151ac61d7221edfe0&chksm=f296c0e060b2fbce727a7dff12b39386561d64ebeed19baa41cd05321b216459073351e57414&scene=27#wechat_redirect,2024-08-09 08:25:25,0,0,0,{}
科技爱好者周刊#311：低利率与长期项目,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650237705&idx=1&sn=01f6694aeed0841b961a9c7e57097cbe&chksm=f2028427ffeaff8e4231012625fb1a96ee274a77ac566e4da93ee6d98d4b2f778d520194f4b1&scene=27#wechat_redirect,2024-08-02 08:27:52,0,0,0,{}
科技爱好者周刊#310：内容农场的 AI 赚钱术,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650237661&idx=1&sn=de9a8a88f1e51254fe3be11514c92315&chksm=f25972f838c06358fd3e431f225e56cd3390c7cb4c832515ce8fa51a338f5aa356e413ba3050&scene=27#wechat_redirect,2024-07-26 08:23:38,0,0,0,{}
科技爱好者周刊#309：无人驾驶出租车的双面刃,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650237619&idx=1&sn=d96408751588c1e04fbb53a9cfabed0f&chksm=f226440b743f6af6d4e9b9ac61727c55267fc9311222601910931d6bdde923874f683279b3ad&scene=27#wechat_redirect,2024-07-19 08:27:22,0,0,0,{}
科技爱好者周刊#308：工作找不到，博士能读吗？,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650237567&idx=1&sn=8b511be2e9179b4aa74babdfd55b9714&chksm=f2a0452e1fa2d799e0a1e8711fdbd417ac5875afb269efb721c18acb3cf45ae75fbbb2d8e22d&scene=27#wechat_redirect,2024-07-12 08:36:36,0,0,0,{}
科技爱好者周刊#307：不要看重 Product Hunt,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650237486&idx=1&sn=5f3cbd2f4a91e64c8c201b1517d58058&chksm=f2591d6bcfc6d8ea16725ddc035d6317192955c7adf09f1a39438f48636f9af1575f90ee0c84&scene=27#wechat_redirect,2024-07-05 08:40:11,0,0,0,{}
