title,url,time,like_num,read_num,share_num,comment_count
科技爱好者周刊#328：AI 模型不是一门好生意,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&amp;mid=2650239213&amp;idx=1&amp;sn=38e7f56bb119b261b2485f300c8cf3a5&amp;chksm=f280eaf1d8fedf60ff006ba5b9a42169e5a7fb9b62054e7ab77a8894aa9328def7d5cd128ac2&amp;scene=27#wechat_redirect,2024-12-06 08:35:06,179,15984,481,46
AI 应用无代码开发教程：工作流模式详解,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&amp;mid=2650239155&amp;idx=1&amp;sn=0c34134277e7c881d575fe60b46dae33&amp;chksm=f23fbcc65009b84c329bacde7c0707e870d5077284923b721248dfee79e2590e53152fa2ea83&amp;scene=27#wechat_redirect,2024-12-02 18:42:44,142,11109,725,20
科技爱好者周刊#327：没有链接的互联网,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&amp;mid=2650238835&amp;idx=1&amp;sn=8cb824db4ce2b535628d1b01165a15be&amp;chksm=f24b236aa0bf92b71eaf48928c653e35dadf2efff111be80d58639b6da2c35f8127aac8eaeae&amp;scene=27#wechat_redirect,2024-11-29 08:42:58,210,17560,451,63
科技爱好者周刊#326：世界没有那么多财富,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&amp;mid=2650238740&amp;idx=1&amp;sn=e7debe6a372e8641360e88307cef7824&amp;chksm=f29f2f8051b9731fbad815984b04c7ff49e2e18f9d1803b658eb9543b649d9a9e87d78dc56b9&amp;scene=27#wechat_redirect,2024-11-22 08:22:49,232,19563,464,83
科技爱好者周刊#325：VS Code 编辑器的下一站是 Zed？,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&amp;mid=2650238689&amp;idx=1&amp;sn=cb62a76c5b9707a70aed7173e7923aba&amp;chksm=f2446e955f7ed458cf04b1bdc6418785b8ef685097e444a147c98b8bd01ea7e0740dfdb60671&amp;scene=27#wechat_redirect,2024-11-15 08:28:35,193,18768,438,76
科技爱好者周刊#324：人类已知的最大质数,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&amp;mid=2650238618&amp;idx=1&amp;sn=21a9612d9de551f22777c3c89daac00e&amp;chksm=f27d676eed1ee630073cbe71a0580dce8b77f62cae8dda3214ccb7f46495258225cf7a3e6a5e&amp;scene=27#wechat_redirect,2024-11-08 08:31:57,196,18686,416,76
科技爱好者周刊#323：技术公司的口号比拼,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&amp;mid=2650238548&amp;idx=1&amp;sn=98272891260c9492f0f6dfb9d14bde8a&amp;chksm=f237488741001ab45320928b0924e6c98244b75e1799aa9a90e828f9bef818c71c3d01387438&amp;scene=27#wechat_redirect,2024-11-01 08:32:43,174,17946,390,83
AI 开发的捷径：工作流模式,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&amp;mid=2650238497&amp;idx=1&amp;sn=59b9010e92c72d9080cedd052ee70be4&amp;chksm=f2d01c0264cf88fe494d361a2519e97499202b24e5bfbdcd1ef10b55fb2883dad075d69b3e64&amp;scene=27#wechat_redirect,2024-10-31 08:36:24,226,17251,1080,24
科技爱好者周刊#322：内容行业的内幕,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&amp;mid=2650238418&amp;idx=1&amp;sn=2ad63532ddf0fb3fe516112a6949c83c&amp;chksm=f2fef0be6ec576f6d2c1f361c2588323f6827b74ce5b220fe60e7ddbab8c4744015652723779&amp;scene=27#wechat_redirect,2024-10-25 08:25:20,244,16938,562,63
科技爱好者周刊#321：傅盛回忆录,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&amp;mid=2650238374&amp;idx=1&amp;sn=fd8dfd3e73757c70ab24ef041a05b6b4&amp;chksm=f2e4dc0d0170d3c1a0c99f2aa9aca083c1ca64a79204dfa532ed5a60f24bf0aa72339594c7ed&amp;scene=27#wechat_redirect,2024-10-18 08:18:33,254,17703,593,59
科技爱好者周刊#320：乒乓仓,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&amp;mid=2650238316&amp;idx=1&amp;sn=aee84766d54c2a0bc71dfccd9b6afb34&amp;chksm=f208e7b27002bbb6b910823647a08c72dbd37521d2003ce5114da854c25065a8b92170b2429c&amp;scene=27#wechat_redirect,2024-10-11 08:31:07,227,19369,693,66
